boundary_axis,controlled_question,condition,metric,ratio_label,ratio,ci95,direction,interpretation,source
task_family,"At matched global update size, does Muon's natural update improve <G,D>?",MatrixFactorizationInput,update_grad_inner,Muon/Adam,0.3431900498877144,"[0.3194, 0.3687]",Adam/GD-favorable,Task family alone can flip whether Muon's update spectrum improves local first-order progress.,results/e11_equal_update/first_order_pair_summary.csv
task_family,"At matched global update size, does Muon's natural update improve <G,D>?",MatrixSensing,update_grad_inner,Muon/Adam,1.2361559253948544,"[1.215, 1.258]",Muon-favorable,Task family alone can flip whether Muon's update spectrum improves local first-order progress.,results/e11_equal_update/first_order_pair_summary.csv
task_family,"At matched global update size, does Muon's natural update improve <G,D>?",SmallMLPDigits,update_grad_inner,Muon/Adam,0.5231765493537704,"[0.4909, 0.5576]",Adam/GD-favorable,Task family alone can flip whether Muon's update spectrum improves local first-order progress.,results/e11_equal_update/first_order_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",MF input kappa=1e+02,update_grad_inner,Muon/Adam,0.4143473806561023,"[0.3868, 0.4438]",Adam/GD-favorable,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",MF input kappa=1e+05,update_grad_inner,Muon/Adam,0.3265976539721876,"[0.3035, 0.3515]",Adam/GD-favorable,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",Matrix sensing kappa=1e+02,update_grad_inner,Muon/Adam,1.072110027132832,"[1.038, 1.107]",Muon-favorable,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",Matrix sensing kappa=1e+05,update_grad_inner,Muon/Adam,1.1128637658606302,"[1.039, 1.192]",Muon-favorable,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",Small MLP digits hidden=16,update_grad_inner,Muon/Adam,1.00906614761898,"[0.9975, 1.021]",mixed_or_uncertain,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
target_update_size,"After sweeping matched target update norms, does Muon's direction remain favorable?",Small MLP digits hidden=64,update_grad_inner,Muon/Adam,0.6046914187203296,"[0.5818, 0.6285]",Adam/GD-favorable,"The sign persists across target update sizes in some settings, but not uniformly across problem geometry.",results/e11_target_update_sweep/target_pair_summary.csv
per_layer_update_size,"In MLP, after matching per-layer relative update norms, does Muon's direction remain favorable?",Small MLP digits hidden=16,update_grad_inner,Muon/Adam,0.9407669132669612,"[0.9309, 0.9507]",Adam/GD-favorable,The MLP sign depends strongly on width even after per-layer update-size control.,results/e11_mlp_per_layer_control/pair_summary.csv
per_layer_update_size,"In MLP, after matching per-layer relative update norms, does Muon's direction remain favorable?",Small MLP digits hidden=64,update_grad_inner,Muon/Adam,0.6882151771416425,"[0.6761, 0.7006]",Adam/GD-favorable,The MLP sign depends strongly on width even after per-layer update-size control.,results/e11_mlp_per_layer_control/pair_summary.csv
norm_budget,"If only singular-value allocation changes, when is a flat/polar spectrum better than GD spectrum?",fro budget,update_grad_inner,flat_polar/GD_spectrum,0.6070694073361543,"[0.5846, 0.6304]",GD-spectrum-favorable,Flat/polar allocation is beneficial under operator-norm budget and harmful under Frobenius budget.,results/e11_spectral_allocation_probe/spectral_allocation_summary.csv
norm_budget,"If only singular-value allocation changes, when is a flat/polar spectrum better than GD spectrum?",op budget,update_grad_inner,flat_polar/GD_spectrum,1.689054084988738,"[1.614, 1.768]",flat/polar-favorable,Flat/polar allocation is beneficial under operator-norm budget and harmful under Frobenius budget.,results/e11_spectral_allocation_probe/spectral_allocation_summary.csv
state_specific_direction,Does replacing the natural update by the other trajectory's update preserve local progress?,All budget,update_grad_inner,other_update/own_update,0.4924988052634197,"[0.4423, 0.5427]",own-update-favorable,"The optimizer's natural update vector is locally consequential, but the effect is still one-step and budget-dependent.",results/e11_natural_update_swap_probe/natural_update_swap_summary.csv
