source_id,path,family,natural_task,scope,rows,setting_axes,ratio_metric_count,diff_metric_count,primary_tail_drift_present,status
digits_one_step,results/e11_long_tail_one_step/pair_summary.csv,sklearn_digits_mlp,digits long-tail head/tail partition,baseline natural matched-head-gain diagnostic,1,pooled,5,3,yes,included
digits_imbalance_ablation,results/e11_long_tail_imbalance_ablation/summary.csv,sklearn_digits_mlp,digits long-tail imbalance sweep,tail-frequency robustness,4,"head_train_per_class,tail_train_per_class,imbalance_ratio",1,3,yes,included
digits_checkpoint_sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,sklearn_digits_mlp,digits long-tail checkpoint sweep,checkpoint robustness,5,warmup_steps,5,3,yes,included
digits_class_partition_sweep,results/e11_long_tail_class_partition_sweep/summary.csv,sklearn_digits_mlp,digits long-tail class partitions,class-partition robustness,5,"partition_name,head_classes,tail_classes",5,3,yes,included
digits_rho_sweep,results/e11_long_tail_rho_sweep/summary.csv,sklearn_digits_mlp,digits long-tail head-gain rho sweep,target-head-gain robustness,5,target_head_gain_fraction,5,3,yes,included
cifar100_resnet_one_step_rho005,results/e11_cifar100_resnet_one_step/pair_summary.csv,cifar100_lt_resnet18,CIFAR-100-LT ResNet18 one-step rho=0.005,baseline ResNet natural matched-head-gain diagnostic,1,"dataset,model",5,3,yes,included
cifar100_resnet_one_step_rho002,results/e11_cifar100_resnet_one_step_rho002/pair_summary.csv,cifar100_lt_resnet18,CIFAR-100-LT ResNet18 one-step rho=0.002,smaller head-gain robustness,1,"dataset,model",5,3,yes,included
cifar100_resnet_checkpoint_sweep,results/e11_cifar100_resnet_checkpoint_sweep/pair_summary.csv,cifar100_lt_resnet18,CIFAR-100-LT ResNet18 checkpoint sweep,checkpoint robustness,4,"dataset,model,warmup_steps",5,3,yes,included
cifar100_resnet_tail_quality_control,results/e11_cifar100_resnet_tail_quality_control/pair_summary.csv,cifar100_resnet18_tail_rich,CIFAR-100 ResNet18 tail-quality control,tail-quality control,3,"dataset,model,warmup_steps",5,3,yes,included
cifar100_resnet_imbalance_sweep,results/e11_cifar100_resnet_imbalance_sweep/pair_summary.csv,cifar100_lt_resnet18,CIFAR-100-LT ResNet18 imbalance sweep,tail-frequency robustness,4,"dataset,model,tail_train_per_class,imbalance_ratio",5,3,yes,included
cifar100_resnet_fc_condition_scatter,results/e11_cifar100_resnet_fc_condition_scatter/summary.csv,cifar100_lt_resnet18_fc_only,CIFAR-100-LT ResNet18 final-layer condition scatter,final-layer downstream-aware condition diagnostic,4,warmup_steps,5,3,yes,included
