command_id,command,purpose,compute_mode,expected_state,claim_boundary
AR-C1,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-artifact-review-packet,Regenerate the reviewer-facing artifact-review response packet.,CPU,recreates discussion/e11_artifact_review_packet.md and results/e11_artifact_review_packet/*,No empirical claim changes; this only maps existing evidence to reviewer commands.
AR-C2,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-paper-assets,"Regenerate current head-to-tail paper Markdown, TeX tables, manifest, and review packets.",CPU,all paper-facing generated artifacts are refreshed from committed result CSVs,Regenerates from existing result files and does not launch GPU reruns.
AR-C3,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-paper-pdf,Rebuild paper/specgrad_activation_paper/main.pdf and two_page.pdf.,CPU,Tectonic fallback can build the PDFs on this server,Preferred pdflatex/bibtex/xelatex clean-checkout reproducibility remains a separate gate.
AR-C4,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-check,"Validate artifacts, run tests, and run git diff whitespace checks.",CPU,"validator passes, pytest passes, and git diff --check passes",This validates the current evidence bundle; it does not authorize stronger claims.
AR-C5,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-full,"Strongest local reviewer command: regenerate assets, rebuild PDFs, then run e11-check.",CPU,complete local artifact gate for the current committed evidence bundle,Still CPU-side and still separate from the preferred LaTeX clean-checkout gate.
AR-C6,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-lt-tuned-benchmark-leakage-audit,Regenerate the tuned-validation leakage and optional-stopping guard matrix.,CPU,refreshes validation_leakage_audit tables and reviewer-facing leakage discussion from current validation/queue artifacts,Only audits partial validation visibility; it does not authorize recipe selection or final-performance wording.
AR-C7,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-clean-worktree-replay-audit,Replay e11-check from a detached clean Git worktree.,CPU,"records run_summary.csv, gate_matrix.csv, and command_log_tail.txt for the tracked-source replay",Checks tracked-source artifact replay only; preferred LaTeX clean-checkout reproducibility remains separate.
AR-C8,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-pdf-render-boundary-audit,Audit rendered PDF header/hash/source-trace coverage and PDF text/metadata inspection tool availability.,CPU,records PDF inspection tool status plus render-boundary gates without changing empirical claims,Supports binary/hash/source-claim trace evidence now; rendered text-layer and metadata verification remain tool-gated.
AR-C9,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-lt-tuned-benchmark-final-execution-plan,Regenerate the no-side-effect final-claim execution contract and gate-checked Slurm wrapper plan.,CPU,refreshes final_execution_plan tables and discussion without submitting final jobs,Does not submit jobs or inspect final outputs; final submit remains blocked until every FEP gate passes.
AR-C10,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-lt-tuned-benchmark-final-eval,Regenerate the fixed final evaluator and final-claim gate report.,CPU,currently reports not_ready until selected final recipe outputs are complete,Does not authorize benchmark wording when final rows are absent or final claim gates are not_ready.
AR-C11,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-lt-tuned-benchmark-final-launch-audit,Compute queue-aware final-claim launch readiness without submitting.,CPU,currently records blocked_final_launch_gates_not_ready and emits no submit command,Dry-run audit only; use e11-cifar-resnet-lt-tuned-benchmark-final-safe-submit only after all final launch gates pass.
AR-G1,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-condition-score-v5-architecture-results,Regenerate the registered ResNeXt50-32x4d final architecture split if a new run is explicitly needed.,GPU via Slurm,current final architecture layer tables are already present in the committed evidence bundle,Not required to reproduce current paper claims; the completed v5 final already failed its registered P0 gates.
AR-G2,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-cifar-resnet-condition-score-v5-data-results,Regenerate the registered CIFAR-10 cross-partition final data split if a new run is explicitly needed.,GPU via Slurm,current final data layer tables are already present in the committed evidence bundle,Not required to reproduce current paper claims; the completed v5 final already failed its registered P0 gates.
AR-G3,make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-natural-negative-search-phase1-results,Submit the registered phase1 natural-negative search family.,GPU via Slurm,current 26-setting phase1 metric files are complete; rerun only for a new registered family,Finite registered phase1 null-candidate wording is allowed only with detectable-effect and tail-quality caveats.
