objection,answer,status,forbidden_shortcut
Can the exact evidence bundle be reproduced?,"Run make PYTHON=/data/conda_envs/SpatialQuantization/bin/python e11-full from the repo root; this regenerates paper assets, rebuilds PDFs, and runs validation/tests/whitespace checks.",supported_for_current_bundle,Do not cite a passing partial command as a stronger full-artifact gate.
Why is the preferred LaTeX clean-checkout gate not passing?,"The server lacks pdflatex, bibtex, and xelatex; the packet therefore reports Tectonic-backed server evidence and keeps preferred clean-checkout reproducibility as not_ready.",transparent_boundary,Do not claim preferred venue-toolchain reproducibility from the Tectonic fallback alone.
Does serverREADME.md contaminate the artifact package?,No. serverREADME.md is a user-provided local attachment kept in the working directory but intentionally untracked and uncommitted.,local_file_excluded,Do not stage serverREADME.md with evidence artifacts.
Does the CPU artifact gate replay from tracked files only?,"Yes. The clean-worktree replay audit creates a detached Git worktree, confirms serverREADME.md is absent, runs make e11-check, observes pytest and git diff --check, and confirms the replay worktree stays clean.",tracked_source_replay_supported,Do not treat this as preferred pdflatex/bibtex/xelatex clean-checkout reproducibility.
Can reviewers verify rendered PDF text-layer and page metadata here?,"Partly. The PDF render boundary audit verifies PDF bytes, headers, hashes, and source-level claim trace now, but rendered text-layer and page-metadata inspection are not_ready on this server until pdftotext, pdfinfo, mutool, or a Python PDF parser is available.",pdf_render_boundary_declared,Do not claim rendered-PDF text-layer or metadata verification from source-level claim trace alone.
Do reviewers need GPUs to check the current paper?,"No. The current submitted evidence bundle, including the completed v5 final boundary readout, is checked by CPU-side Make targets; GPUs via Slurm are only for new reruns or new evidence.",cpu_review_path,Do not treat GPU reruns as a way to repair the already observed frozen v5 final failures.
Can partial tuned validation create optional-stopping leakage?,"The tuned leakage audit records TLA guards for frozen selection rules, validation-only seed inputs, contiguous array order, partial-grid selection blocking, final-output quarantine, and queue-audited launches; partial validation observations are progress accounting only.",partial_validation_leakage_controlled,"Do not use the partial leaderboard to change the recipe grid, selection rule, launch order, final seed plan, or benchmark wording."
Can final benchmark jobs or final-performance claims be triggered by artifact review?,"No. The final execution plan, final evaluator, and final launch audit are CPU dry-run/not_ready gates: final outputs are absent, no submit command is emitted, and final seeds 20..29 remain quarantined until selection gates and queue capacity pass.",final_benchmark_blocked,"Do not run final-safe-submit or claim optimizer-performance from partial validation, dry-run launch audits, or not_ready final evaluator gates."
Why are v5 final and natural-negative claims still limited?,The v5 final splits are complete and failed the registered P0 gate family. The natural-negative phase1 family is complete and supports only a finite registered null candidate with detectable-effect and tail-quality caveats.,claim_boundary_preserved,"Do not use failed v5 finals, not_ready gates, partial-family, or finite phase1 outputs as broader positive evidence."
What scientific claim is actually reproducible now?,"The current artifact-review path supports the local matched-head-gain head-to-tail drift mechanism evidence, theorem/proof contract, and conservative claim ledger.",current_claim_only,"Do not infer broad optimizer-performance, accuracy, or general predictive-condition claims."
